File,Yake,TextRank,SingleRank,TopicRank,PositionRank,MultipartiteRank
employee_contract_Olivia Taylor.md,"['leading sales strategy', 'olivia taylor', 'intellectual property', 'leading sales', 'hereinafter referred', 'strong', 'health insurance', 'sales strategy', 'employment contract', 'contract outlines']","['# # employee information:\\r\\n- <', '# #', '# employment', '<', 'termination conditions:</strong', 'work hours:</strong', 'health insurance', 'employment', 'property', 'sales']","['# employee information:\\r\\n- < strong', 'company-owned\\r\\n- < strong', 'operations.\\r\\n- < strong', 'strong', ""b'\\r\\n # employment contract\\r\\n\\r\\n"", '# terms', 'intellectual property rights:</strong', 'employment contract', 'employee', 'olivia taylor\\r\\n-']","['strong', 'employee', 'employer', 'employment contract', 'hereinafter', 'august', 'terms', 'compliance', 'conditions', 'olivia taylor']","['# terms', 'employee', 'company-owned\\r\\n- <', 'employment contract', 'operations.\\r\\n- <', 'olivia taylor\\r\\n-', 'employment', 'sales manager\\r\\n-', 'intellectual property rights:</strong', 'sales strategy']","['strong', 'employee', 'employer', 'employment contract', 'hereinafter', 'compliance', 'august', 'terms', 'conditions', 'instagram']"
employee_contract_Robert Martinez.md,"['overseeing financial operations', 'robert martinez', 'intellectual property', 'hereinafter referred', 'strong', 'overseeing financial', 'health insurance', 'employment contract', 'contract outlines', 'employee']","['# # employee', 'robert martinez\\r\\n- <', 'finance manager\\r\\n- <', '# #', '# employment', '<', 'work hours:</strong', 'health insurance', 'financial operations', 'employment']","['# employee information:\\r\\n- < strong', 'robert martinez\\r\\n- < strong', 'company-owned\\r\\n- < strong', 'reporting.\\r\\n- < strong', 'strong', ""b'\\r\\n # employment contract\\r\\n\\r\\n"", 'employee name:</strong', '# terms', 'employee', 'intellectual property rights:</strong']","['strong', 'employer', 'employee', 'employment contract', 'hereinafter', 'july', 'terms', 'compliance', 'conditions', 'robert martinez']","['robert martinez\\r\\n- <', 'employee name:</strong', '# terms', 'company-owned\\r\\n- <', 'reporting.\\r\\n- <', 'employee', 'employment contract', 'employment', 'intellectual property rights:</strong', 'finance manager\\r\\n-']","['strong', 'employer', 'employee', 'employment contract', 'hereinafter', 'compliance', 'july', 'terms', 'conditions', 'instagram']"
employee_contract_Sarah Wilson.md,"['managing employee relations', 'sarah wilson', 'intellectual property', 'managing employee', 'hereinafter referred', 'strong', 'health insurance', 'employment contract', 'employee relations', 'employee']","['# # employee information:\\r\\n- <', 'human resources\\r\\n\\r\\n # #', 'hr specialist\\r\\n- <', '# employment', '<', 'work hours:</strong', 'health insurance', 'employment', 'employee', 'property']","['# employee information:\\r\\n- < strong', 'company-owned\\r\\n- < strong', 'recruitment.\\r\\n- < strong', 'strong', ""b'\\r\\n # employment contract\\r\\n\\r\\n"", 'employee relations', '# terms', 'employee', 'intellectual property rights:</strong', 'employment contract']","['employee', 'strong', 'employer', 'employment contract', 'hereinafter', 'june', 'terms', 'compliance', 'conditions', 'sarah wilson']","['# terms', 'employee relations', 'employee', 'company-owned\\r\\n- <', 'employment contract', 'recruitment.\\r\\n- <', 'sarah wilson\\r\\n-', 'employment', 'intellectual property rights:</strong', 'sarah wilson']","['employee', 'strong', 'employer', 'employment contract', 'hereinafter', 'june', 'compliance', 'terms', 'conditions', 'instagram']"
employee_contract_Sophia Garcia.md,"['providing legal advice', 'sophia garcia', 'intellectual property', 'providing legal', 'hereinafter referred', 'strong', 'health insurance', 'employment contract', 'legal advice', 'contract outlines']","['sophia garcia\\r\\n- <', '# #', '# employment', 'information:\\r\\n- <', '<', 'confidentiality agreement:</strong', 'termination conditions:</strong', 'work hours:</strong', 'health insurance', 'employment']","['# employee information:\\r\\n- < strong', 'sophia garcia\\r\\n- < strong', 'company-owned\\r\\n- < strong', 'company.\\r\\n- < strong', 'strong', ""b'\\r\\n # employment contract\\r\\n\\r\\n"", '# terms', 'intellectual property rights:</strong', 'employment contract', 'employee']","['strong', 'employee', 'employer', 'employment contract', 'hereinafter', 'november', 'terms', 'compliance', 'conditions', 'sophia garcia']","['sophia garcia\\r\\n- <', '# terms', 'company-owned\\r\\n- <', 'company.\\r\\n- <', 'employee', 'employment contract', 'employment', 'legal counsel\\r\\n-', 'intellectual property rights:</strong', 'legal advice']","['strong', 'employee', 'employer', 'employment contract', 'hereinafter', 'compliance', 'november', 'terms', 'conditions', 'instagram']"
employee_contract_William Anderson.md,"['customer support', 'william anderson', 'intellectual property', 'hereinafter referred', 'strong', 'assisting customers', 'health insurance', 'employment contract', 'contract outlines', 'employee']","['customer support\\r\\n\\r\\n # #', '# #', 'william anderson\\r\\n- <', '# employment', 'customer support', 'work hours:</strong', 'health insurance', 'product inquiries', '<', 'employment']","['# employee information:\\r\\n- < strong', 'william anderson\\r\\n- < strong', 'company-owned\\r\\n- < strong', 'customer support\\r\\n\\r\\n # # terms', 'strong', ""b'\\r\\n # employment contract\\r\\n\\r\\n"", 'customer support specialist\\r\\n-', 'intellectual property rights:</strong', 'employment contract', 'employee']","['strong', 'employee', 'employer', 'employment contract', 'hereinafter', 'september', 'terms', 'compliance', 'conditions', 'william anderson']","['william anderson\\r\\n- <', 'customer support specialist\\r\\n-', 'company-owned\\r\\n- <', 'employee', 'employment contract', 'employment', 'intellectual property rights:</strong', 'william anderson', 'terms', 'company policies:</strong']","['strong', 'employee', 'employer', 'employment contract', 'hereinafter', 'compliance', 'september', 'terms', 'conditions', 'instagram']"
employee_contract_Zoe Lee.md,"['ensuring customer satisfaction', 'zoe lee', 'customer success', 'ensuring customer', 'intellectual property', 'hereinafter referred', 'strong', 'customer satisfaction', 'health insurance', 'employment contract']","['zoe lee\\r\\n- <', '# #', '# employment', 'information:\\r\\n- <', 'customer success', '<', 'termination conditions:</strong', 'work hours:</strong', 'health insurance', 'customer']","['# employee information:\\r\\n- < strong', 'zoe lee\\r\\n- < strong', 'company-owned\\r\\n- < strong', 'retention.\\r\\n- < strong', 'strong', ""b'\\r\\n # employment contract\\r\\n\\r\\n"", 'customer success manager\\r\\n-', '# terms', 'intellectual property rights:</strong', 'employment contract']","['strong', 'employer', 'employee', 'hereinafter', 'employment contract', 'terms', 'compliance', 'conditions', 'zoe lee', 'retirement']","['zoe lee\\r\\n- <', '# terms', 'company-owned\\r\\n- <', 'retention.\\r\\n- <', 'customer success manager\\r\\n-', 'employee', 'employment contract', 'customer success\\r\\n\\r\\n', 'employment', 'customer satisfaction']","['strong', 'employer', 'employee', 'hereinafter', 'employment contract', 'compliance', 'terms', 'conditions', 'instagram', 'zoe lee']"
employee_esop_Ava Thomas.md,"['employee stock ownership', 'stock ownership plan', 'employee stock', 'stock ownership', 'ava thomas', 'voting rights', 'ownership plan', 'hereinafter referred', 'esop details', 'fair market']","['# # employee information:\\r\\n- <', '# employee stock ownership', 'employee stock ownership', '# # esop', 'full-time employment\\r\\n- <', 'administrative assistant\\r\\n- <', 'vesting schedule:</strong', 'employee', 'ownership', 'market']","['# employee information:\\r\\n- < strong', ""b'\\r\\n # employee stock ownership plan"", 'entitlement\\r\\n\\r\\nthis employee stock ownership plan', 'strong', '# esop details:\\r\\n-', 'employee', 'voting rights', 'fair market value\\r\\n-', 'ownership interest', 'valuation methods:</strong']","['employee', 'strong', 'rights', 'hereinafter', 'allocation', 'esop', 'ownership interest', 'eligibility criteria', 'schedule', 'shares']","['# esop details:\\r\\n-', 'employee', 'ownership interest', 'voting rights', 'plan', 'ava thomas\\r\\n-', 'fair market value\\r\\n-', 'rights', 'ava thomas', 'esop']","['employee', 'strong', 'rights', 'hereinafter', 'allocation', 'esop', 'ownership interest', 'eligibility criteria', 'schedule', 'responsibilities']"
employee_esop_David Lee.md,"['employee stock ownership', 'stock ownership plan', 'employee stock', 'stock ownership', 'david lee', 'voting rights', 'ownership plan', 'hereinafter referred', 'esop details', 'fair market']","['# # employee information:\\r\\n- <', '# employee stock ownership', 'employee stock ownership', '# # esop', 'full-time employment\\r\\n- <', 'vesting schedule:</strong', 'employee', 'ownership', 'market', 'valuation']","['# employee information:\\r\\n- < strong', ""b'\\r\\n # employee stock ownership plan"", 'entitlement\\r\\n\\r\\nthis employee stock ownership plan', 'strong', '# esop details:\\r\\n-', 'employee', 'voting rights', 'fair market value\\r\\n-', 'ownership interest', 'valuation methods:</strong']","['employee', 'strong', 'rights', 'hereinafter', 'allocation', 'esop', 'ownership interest', 'eligibility criteria', 'schedule', 'shares']","['# esop details:\\r\\n-', 'employee', 'ownership interest', 'voting rights', 'plan', 'david lee\\r\\n-', 'data analyst\\r\\n-', 'data analytics\\r\\n\\r\\n', 'fair market value\\r\\n-', 'rights']","['employee', 'strong', 'rights', 'hereinafter', 'allocation', 'esop', 'ownership interest', 'eligibility criteria', 'responsibilities', 'schedule']"
employee_esop_Emily Brown.md,"['employee stock ownership', 'stock ownership plan', 'employee stock', 'stock ownership', 'emily brown', 'voting rights', 'ownership plan', 'hereinafter referred', 'esop details', 'fair market']","['# # employee information:\\r\\n- <', '# employee stock ownership', 'employee stock ownership', '# # esop', 'ux designer\\r\\n- <', 'vesting schedule:</strong', 'employee', 'ownership', 'market', 'valuation']","['# employee information:\\r\\n- < strong', ""b'\\r\\n # employee stock ownership plan"", 'entitlement\\r\\n\\r\\nthis employee stock ownership plan', 'strong', '# esop details:\\r\\n-', 'employee', 'voting rights', 'fair market value\\r\\n-', 'ownership interest', 'valuation methods:</strong']","['employee', 'strong', 'rights', 'hereinafter', 'allocation', 'esop', 'ownership interest', 'eligibility criteria', 'schedule', 'shares']","['# esop details:\\r\\n-', 'employee', 'ownership interest', 'voting rights', 'plan', 'emily brown\\r\\n-', 'fair market value\\r\\n-', 'rights', 'emily brown', 'valuation methods:</strong']","['employee', 'strong', 'rights', 'hereinafter', 'allocation', 'esop', 'ownership interest', 'eligibility criteria', 'schedule', 'responsibilities']"
employee_esop_Ethan Rodriguez.md,"['employee stock ownership', 'stock ownership plan', 'employee stock', 'stock ownership', 'ethan rodriguez', 'voting rights', 'ownership plan', 'hereinafter referred', 'esop details', 'fair market']","['# # employee information:\\r\\n- <', '# employee stock ownership', 'employee stock ownership', '# # esop', 'full-time employment\\r\\n- <', 'vesting schedule:</strong', 'employee', 'ownership', 'market', 'valuation']","['# employee information:\\r\\n- < strong', ""b'\\r\\n # employee stock ownership plan"", 'entitlement\\r\\n\\r\\nthis employee stock ownership plan', 'strong', '# esop details:\\r\\n-', 'employee', 'voting rights', 'fair market value\\r\\n-', 'ownership interest', 'valuation methods:</strong']","['employee', 'strong', 'rights', 'hereinafter', 'allocation', 'esop', 'ownership interest', 'eligibility criteria', 'schedule', 'shares']","['# esop details:\\r\\n-', 'employee', 'ownership interest', 'voting rights', 'plan', 'ethan rodriguez\\r\\n-', 'fair market value\\r\\n-', 'rights', 'ethan rodriguez', 'valuation methods:</strong']","['employee', 'strong', 'rights', 'hereinafter', 'allocation', 'esop', 'ownership interest', 'eligibility criteria', 'schedule', 'responsibilities']"
employee_esop_Eva Kim.md,"['employee stock ownership', 'stock ownership plan', 'employee stock', 'stock ownership', 'eva kim', 'voting rights', 'ownership plan', 'hereinafter referred', 'esop details', 'fair market']","['# # employee information:\\r\\n- <', '# employee stock ownership', 'employee stock ownership', '# # esop', 'full-time employment\\r\\n- <', 'employee', 'vesting schedule:</strong', 'ownership', 'market', 'valuation']","['# employee information:\\r\\n- < strong', ""b'\\r\\n # employee stock ownership plan"", 'entitlement\\r\\n\\r\\nthis employee stock ownership plan', 'strong', '# esop details:\\r\\n-', 'employee name:</strong', 'employee', 'voting rights', 'fair market value\\r\\n-', 'ownership interest']","['employee', 'rights', 'strong', 'hereinafter', 'allocation', 'esop', 'ownership interest', 'eligibility criteria', 'schedule', 'shares']","['# esop details:\\r\\n-', 'employee name:</strong', 'employee', 'ownership interest', 'voting rights', 'eva kim\\r\\n-', 'plan', 'content moderator\\r\\n-', 'content moderation\\r\\n\\r\\n', 'fair market value\\r\\n-']","['employee', 'strong', 'rights', 'hereinafter', 'allocation', 'esop', 'ownership interest', 'eligibility criteria', 'schedule', 'responsibilities']"
employee_esop_Jane Smith.md,"['employee stock ownership', 'stock ownership plan', 'employee stock', 'stock ownership', 'jane smith', 'voting rights', 'ownership plan', 'hereinafter referred', 'esop details', 'fair market']","['# # employee information:\\r\\n- <', '# employee stock ownership', 'employee stock ownership', '# # esop', 'marketing specialist\\r\\n- <', 'vesting schedule:</strong', 'employee', 'ownership', 'market', 'valuation']","['# employee information:\\r\\n- < strong', ""b'\\r\\n # employee stock ownership plan"", 'entitlement\\r\\n\\r\\nthis employee stock ownership plan', 'strong', '# esop details:\\r\\n-', 'employee', 'voting rights', 'fair market value\\r\\n-', 'ownership interest', 'valuation methods:</strong']","['employee', 'strong', 'rights', 'hereinafter', 'allocation', 'esop', 'ownership interest', 'eligibility criteria', 'schedule', 'shares']","['# esop details:\\r\\n-', 'employee', 'ownership interest', 'voting rights', 'plan', 'jane smith\\r\\n-', 'fair market value\\r\\n-', 'rights', 'jane smith', 'valuation methods:</strong']","['employee', 'strong', 'rights', 'hereinafter', 'allocation', 'esop', 'ownership interest', 'eligibility criteria', 'schedule', 'responsibilities']"
employee_esop_John Doe.md,"['employee stock ownership', 'stock ownership plan', 'employee stock', 'stock ownership', 'john doe', 'voting rights', 'ownership plan', 'hereinafter referred', 'esop details', 'fair market']","['# # employee information:\\r\\n- <', '# employee stock ownership', 'employee stock ownership', '# # esop', 'software engineer\\r\\n- <', 'vesting schedule:</strong', 'employee', 'ownership', 'market', 'valuation']","['# employee information:\\r\\n- < strong', ""b'\\r\\n # employee stock ownership plan"", 'entitlement\\r\\n\\r\\nthis employee stock ownership plan', 'strong', '# esop details:\\r\\n-', 'employee', 'voting rights', 'fair market value\\r\\n-', 'ownership interest', 'valuation methods:</strong']","['employee', 'strong', 'rights', 'hereinafter', 'allocation', 'esop', 'ownership interest', 'eligibility criteria', 'schedule', 'shares']","['# esop details:\\r\\n-', 'employee', 'ownership interest', 'voting rights', 'plan', 'john doe\\r\\n-', 'fair market value\\r\\n-', 'rights', 'john doe', 'valuation methods:</strong']","['employee', 'strong', 'rights', 'hereinafter', 'allocation', 'esop', 'ownership interest', 'eligibility criteria', 'schedule', 'responsibilities']"
employee_esop_Leo Kim.md,"['employee stock ownership', 'stock ownership plan', 'employee stock', 'stock ownership', 'leo kim', 'voting rights', 'ownership plan', 'hereinafter referred', 'esop details', 'fair market']","['# # employee information:\\r\\n- <', '# employee stock ownership', 'employee stock ownership', '# # esop', 'full-time employment\\r\\n- <', 'vesting schedule:</strong', 'employee', 'ownership', 'market', 'valuation']","['# employee information:\\r\\n- < strong', ""b'\\r\\n # employee stock ownership plan"", 'entitlement\\r\\n\\r\\nthis employee stock ownership plan', 'strong', '# esop details:\\r\\n-', 'employee', 'voting rights', 'fair market value\\r\\n-', 'ownership interest', 'valuation methods:</strong']","['employee', 'strong', 'rights', 'hereinafter', 'allocation', 'esop', 'ownership interest', 'eligibility criteria', 'schedule', 'shares']","['# esop details:\\r\\n-', 'employee', 'ownership interest', 'voting rights', 'plan', 'leo kim\\r\\n-', 'data scientist\\r\\n-', 'data science\\r\\n\\r\\n', 'fair market value\\r\\n-', 'rights']","['employee', 'strong', 'rights', 'hereinafter', 'allocation', 'esop', 'ownership interest', 'eligibility criteria', 'schedule', 'responsibilities']"
employee_esop_Liam Kim.md,"['employee stock ownership', 'stock ownership plan', 'employee stock', 'stock ownership', 'liam kim', 'voting rights', 'ownership plan', 'hereinafter referred', 'esop details', 'fair market']","['# # employee information:\\r\\n- <', '# employee stock ownership', 'employee stock ownership', '# # esop', 'data engineer\\r\\n- <', 'vesting schedule:</strong', 'employee', 'ownership', 'market', 'valuation']","['# employee information:\\r\\n- < strong', ""b'\\r\\n # employee stock ownership plan"", 'entitlement\\r\\n\\r\\nthis employee stock ownership plan', 'strong', '# esop details:\\r\\n-', 'employee', 'voting rights', 'fair market value\\r\\n-', 'ownership interest', 'valuation methods:</strong']","['employee', 'strong', 'rights', 'allocation', 'hereinafter', 'esop', 'ownership interest', 'eligibility criteria', 'schedule', 'shares']","['# esop details:\\r\\n-', 'employee', 'ownership interest', 'voting rights', 'plan', 'liam kim\\r\\n-', 'data engineer\\r\\n-', 'fair market value\\r\\n-', 'rights', 'liam kim']","['employee', 'strong', 'rights', 'allocation', 'hereinafter', 'esop', 'ownership interest', 'eligibility criteria', 'schedule', 'responsibilities']"
employee_esop_Lucas Martinez.md,"['employee stock ownership', 'stock ownership plan', 'employee stock', 'stock ownership', 'quality assurance', 'lucas martinez', 'voting rights', 'ownership plan', 'hereinafter referred', 'esop details']","['# # employee', '# # esop', 'lucas martinez\\r\\n- <', 'full-time employment\\r\\n- <', '# employee', 'employee', 'quality assurance', 'vesting schedule:</strong', '<', 'ownership']","['# employee information:\\r\\n- < strong', ""b'\\r\\n # employee stock ownership plan"", 'quality assurance specialist\\r\\n- < strong', 'lucas martinez\\r\\n- < strong', 'entitlement\\r\\n\\r\\nthis employee stock ownership plan', 'strong', '# esop details:\\r\\n-', 'employee name:</strong', 'employee', 'voting rights']","['employee', 'rights', 'strong', 'hereinafter', 'allocation', 'esop', 'ownership interest', 'eligibility criteria', 'schedule', 'shares']","['# esop details:\\r\\n-', 'lucas martinez\\r\\n- <', 'employee name:</strong', 'employee', 'ownership interest', 'quality assurance\\r\\n\\r\\n', 'voting rights', 'plan', 'lucas martinez', 'fair market value\\r\\n-']","['employee', 'rights', 'strong', 'hereinafter', 'allocation', 'esop', 'ownership interest', 'eligibility criteria', 'schedule', 'responsibilities']"
employee_esop_Luna Nguyen.md,"['employee stock ownership', 'stock ownership plan', 'employee stock', 'stock ownership', 'luna nguyen', 'voting rights', 'ownership plan', 'hereinafter referred', 'esop details', 'fair market']","['# employee stock ownership', '# # employee', 'employee stock ownership', '# # esop', 'luna nguyen\\r\\n- <', 'full-time employment\\r\\n- <', 'vesting schedule:</strong', 'employee', 'ownership', '<']","['# employee information:\\r\\n- < strong', ""b'\\r\\n # employee stock ownership plan"", 'entitlement\\r\\n\\r\\nthis employee stock ownership plan', 'luna nguyen\\r\\n- < strong', 'strong', '# esop details:\\r\\n-', 'employee', 'voting rights', 'fair market value\\r\\n-', 'ownership interest']","['employee', 'rights', 'strong', 'hereinafter', 'allocation', 'esop', 'ownership interest', 'eligibility criteria', 'schedule', 'shares']","['# esop details:\\r\\n-', 'employee', 'luna nguyen\\r\\n- <', 'ownership interest', 'voting rights', 'plan', 'content creator\\r\\n-', 'content creation\\r\\n\\r\\n', 'fair market value\\r\\n-', 'rights']","['employee', 'rights', 'strong', 'hereinafter', 'allocation', 'esop', 'ownership interest', 'eligibility criteria', 'schedule', 'responsibilities']"
employee_esop_Max Nguyen.md,"['employee stock ownership', 'stock ownership plan', 'employee stock', 'stock ownership', 'max nguyen', 'voting rights', 'ownership plan', 'hereinafter referred', 'esop details', 'fair market']","['# employee stock ownership', '# # employee', 'employee stock ownership', '# # esop', 'max nguyen\\r\\n- <', 'full-time employment\\r\\n- <', 'developer\\r\\n- <', 'vesting schedule:</strong', '<', 'employee']","['# employee information:\\r\\n- < strong', ""b'\\r\\n # employee stock ownership plan"", 'max nguyen\\r\\n- < strong', 'entitlement\\r\\n\\r\\nthis employee stock ownership plan', 'software developer\\r\\n- < strong', 'strong', '# esop details:\\r\\n-', 'voting rights', 'employee', 'fair market value\\r\\n-']","['employee', 'rights', 'strong', 'hereinafter', 'allocation', 'esop', 'ownership interest', 'eligibility criteria', 'schedule', 'shares']","['# esop details:\\r\\n-', 'max nguyen\\r\\n- <', 'software developer\\r\\n- <', 'employee', 'ownership interest', 'voting rights', 'plan', 'fair market value\\r\\n-', 'rights', 'max nguyen']","['employee', 'rights', 'strong', 'hereinafter', 'allocation', 'esop', 'ownership interest', 'eligibility criteria', 'schedule', 'responsibilities']"
employee_esop_Mia Hernandez.md,"['employee stock ownership', 'stock ownership plan', 'employee stock', 'stock ownership', 'public relations', 'mia hernandez', 'voting rights', 'ownership plan', 'hereinafter referred', 'esop details']","['# # employee information:\\r\\n- <', '# employee stock ownership', 'employee stock ownership', '# # esop', 'full-time employment\\r\\n- <', 'employee', 'vesting schedule:</strong', 'ownership', 'market', 'valuation']","['# employee information:\\r\\n- < strong', ""b'\\r\\n # employee stock ownership plan"", 'entitlement\\r\\n\\r\\nthis employee stock ownership plan', 'strong', '# esop details:\\r\\n-', 'employee name:</strong', 'employee', 'voting rights', 'public relations manager\\r\\n-', 'fair market value\\r\\n-']","['employee', 'strong', 'rights', 'hereinafter', 'allocation', 'esop', 'ownership interest', 'eligibility criteria', 'schedule', 'shares']","['# esop details:\\r\\n-', 'employee name:</strong', 'employee', 'public relations manager\\r\\n-', 'ownership interest', 'voting rights', 'mia hernandez\\r\\n-', 'plan', 'fair market value\\r\\n-', 'mia hernandez']","['employee', 'strong', 'rights', 'hereinafter', 'allocation', 'esop', 'ownership interest', 'eligibility criteria', 'schedule', 'responsibilities']"
employee_esop_Michael Johnson.md,"['employee stock ownership', 'stock ownership plan', 'employee stock', 'stock ownership', 'michael johnson', 'voting rights', 'ownership plan', 'hereinafter referred', 'esop details', 'fair market']","['# # employee information:\\r\\n- <', '# employee stock ownership', 'employee stock ownership', '# # esop', 'full-time employment\\r\\n- <', 'vesting schedule:</strong', 'employee', 'ownership', 'market', 'valuation']","['# employee information:\\r\\n- < strong', ""b'\\r\\n # employee stock ownership plan"", 'entitlement\\r\\n\\r\\nthis employee stock ownership plan', 'strong', '# esop details:\\r\\n-', 'employee', 'voting rights', 'fair market value\\r\\n-', 'ownership interest', 'valuation methods:</strong']","['employee', 'strong', 'rights', 'hereinafter', 'allocation', 'esop', 'ownership interest', 'eligibility criteria', 'schedule', 'shares']","['# esop details:\\r\\n-', 'employee', 'ownership interest', 'voting rights', 'plan', 'michael johnson\\r\\n-', 'product manager\\r\\n-', 'product management\\r\\n\\r\\n', 'fair market value\\r\\n-', 'rights']","['employee', 'strong', 'rights', 'hereinafter', 'allocation', 'esop', 'ownership interest', 'eligibility criteria', 'schedule', 'responsibilities']"
employee_esop_Mila Lee.md,"['employee stock ownership', 'stock ownership plan', 'employee stock', 'stock ownership', 'mila lee', 'voting rights', 'ownership plan', 'hereinafter referred', 'esop details', 'fair market']","['# # employee information:\\r\\n- <', '# employee stock ownership', 'employee stock ownership', '# # esop', 'product designer\\r\\n- <', 'vesting schedule:</strong', 'employee', 'ownership', 'market', 'valuation']","['# employee information:\\r\\n- < strong', ""b'\\r\\n # employee stock ownership plan"", 'entitlement\\r\\n\\r\\nthis employee stock ownership plan', 'strong', '# esop details:\\r\\n-', 'employee', 'voting rights', 'fair market value\\r\\n-', 'ownership interest', 'valuation methods:</strong']","['employee', 'strong', 'rights', 'hereinafter', 'allocation', 'esop', 'ownership interest', 'eligibility criteria', 'schedule', 'shares']","['# esop details:\\r\\n-', 'employee', 'ownership interest', 'voting rights', 'plan', 'mila lee\\r\\n-', 'fair market value\\r\\n-', 'rights', 'mila lee', 'valuation methods:</strong']","['employee', 'strong', 'rights', 'hereinafter', 'allocation', 'esop', 'ownership interest', 'eligibility criteria', 'schedule', 'responsibilities']"
employee_esop_Olivia Taylor.md,"['employee stock ownership', 'stock ownership plan', 'employee stock', 'stock ownership', 'olivia taylor', 'voting rights', 'ownership plan', 'hereinafter referred', 'esop details', 'fair market']","['# # employee information:\\r\\n- <', '# employee stock ownership', 'employee stock ownership', '# # esop', 'sales manager\\r\\n- <', 'vesting schedule:</strong', 'employee', 'ownership', 'market', 'valuation']","['# employee information:\\r\\n- < strong', ""b'\\r\\n # employee stock ownership plan"", 'entitlement\\r\\n\\r\\nthis employee stock ownership plan', 'strong', '# esop details:\\r\\n-', 'employee', 'voting rights', 'fair market value\\r\\n-', 'ownership interest', 'valuation methods:</strong']","['employee', 'strong', 'rights', 'hereinafter', 'allocation', 'esop', 'ownership interest', 'eligibility criteria', 'schedule', 'shares']","['# esop details:\\r\\n-', 'employee', 'ownership interest', 'voting rights', 'plan', 'olivia taylor\\r\\n-', 'fair market value\\r\\n-', 'rights', 'esop', 'olivia taylor']","['employee', 'strong', 'rights', 'hereinafter', 'allocation', 'esop', 'ownership interest', 'eligibility criteria', 'schedule', 'responsibilities']"
employee_esop_Robert Martinez.md,"['employee stock ownership', 'stock ownership plan', 'employee stock', 'stock ownership', 'robert martinez', 'voting rights', 'ownership plan', 'hereinafter referred', 'esop details', 'fair market']","['# employee stock ownership', '# # employee', 'employee stock ownership', '# # esop', 'robert martinez\\r\\n- <', 'full-time employment\\r\\n- <', 'finance manager\\r\\n- <', 'employee', 'vesting schedule:</strong', 'ownership']","['# employee information:\\r\\n- < strong', ""b'\\r\\n # employee stock ownership plan"", 'entitlement\\r\\n\\r\\nthis employee stock ownership plan', 'robert martinez\\r\\n- < strong', 'strong', '# esop details:\\r\\n-', 'employee name:</strong', 'employee', 'voting rights', 'fair market value\\r\\n-']","['employee', 'rights', 'strong', 'hereinafter', 'allocation', 'esop', 'ownership interest', 'eligibility criteria', 'schedule', 'shares']","['# esop details:\\r\\n-', 'employee name:</strong', 'robert martinez\\r\\n- <', 'employee', 'ownership interest', 'voting rights', 'plan', 'fair market value\\r\\n-', 'robert martinez', 'finance manager\\r\\n-']","['employee', 'rights', 'strong', 'hereinafter', 'allocation', 'esop', 'ownership interest', 'eligibility criteria', 'schedule', 'responsibilities']"
employee_esop_Sarah Wilson.md,"['employee stock ownership', 'stock ownership plan', 'employee stock', 'stock ownership', 'sarah wilson', 'voting rights', 'ownership plan', 'hereinafter referred', 'esop details', 'fair market']","['# # employee information:\\r\\n- <', 'human resources\\r\\n\\r\\n # # esop', '# employee stock ownership', 'employee stock ownership', 'hr specialist\\r\\n- <', 'vesting schedule:</strong', 'employee', 'ownership', 'market', 'valuation']","['# employee information:\\r\\n- < strong', ""b'\\r\\n # employee stock ownership plan"", 'entitlement\\r\\n\\r\\nthis employee stock ownership plan', 'strong', '# esop details:\\r\\n-', 'employee', 'voting rights', 'fair market value\\r\\n-', 'ownership interest', 'valuation methods:</strong']","['employee', 'strong', 'rights', 'hereinafter', 'allocation', 'esop', 'ownership interest', 'eligibility criteria', 'schedule', 'shares']","['# esop details:\\r\\n-', 'employee', 'ownership interest', 'voting rights', 'plan', 'sarah wilson\\r\\n-', 'fair market value\\r\\n-', 'rights', 'esop', 'sarah wilson']","['employee', 'strong', 'rights', 'hereinafter', 'allocation', 'esop', 'ownership interest', 'eligibility criteria', 'schedule', 'responsibilities']"
employee_esop_Sophia Garcia.md,"['employee stock ownership', 'stock ownership plan', 'employee stock', 'stock ownership', 'sophia garcia', 'voting rights', 'ownership plan', 'hereinafter referred', 'esop details', 'fair market']","['# employee stock ownership', '# # employee', 'employee stock ownership', '# # esop', 'sophia garcia\\r\\n- <', 'legal counsel\\r\\n- <', 'vesting schedule:</strong', 'employee', 'ownership', '<']","['# employee information:\\r\\n- < strong', ""b'\\r\\n # employee stock ownership plan"", 'entitlement\\r\\n\\r\\nthis employee stock ownership plan', 'sophia garcia\\r\\n- < strong', 'strong', '# esop details:\\r\\n-', 'employee', 'voting rights', 'fair market value\\r\\n-', 'ownership interest']","['employee', 'rights', 'strong', 'hereinafter', 'allocation', 'esop', 'ownership interest', 'eligibility criteria', 'schedule', 'shares']","['# esop details:\\r\\n-', 'employee', 'sophia garcia\\r\\n- <', 'ownership interest', 'voting rights', 'plan', 'fair market value\\r\\n-', 'rights', 'sophia garcia', 'esop']","['employee', 'rights', 'strong', 'hereinafter', 'allocation', 'esop', 'ownership interest', 'eligibility criteria', 'schedule', 'responsibilities']"
